episode_id,failure_mode,service,elapsed_s,timestamp,p50_latency_ms,p99_latency_ms,heap_mb,gc_pause_ms,error_rate,cache_miss_rate,db_p99_ms,cpu_pct
ep_00000_NONE,NONE,auth-service,0,1700077395,81.7,102.5,530.8,2.0,0.0025,0.044,20.5,40.6
ep_00000_NONE,NONE,auth-service,2,1700079395,82.3,103.8,511.0,14.97,0.0048,0.0194,22.7,37.2
ep_00000_NONE,NONE,auth-service,4,1700081395,107.1,90.9,501.8,2.86,0.0131,0.0391,23.6,31.7
ep_00000_NONE,NONE,auth-service,6,1700083395,91.9,96.2,516.4,3.85,0.0098,0.0915,17.4,31.8
ep_00000_NONE,NONE,auth-service,8,1700085395,87.8,109.9,494.7,16.51,0.0015,0.0447,17.5,39.3
ep_00000_NONE,NONE,auth-service,10,1700087395,88.5,82.2,489.3,2.0,0.0114,0.0338,23.0,31.7
ep_00000_NONE,NONE,auth-service,12,1700089395,93.9,90.3,512.2,2.25,0.0116,0.0414,13.5,30.0
ep_00000_NONE,NONE,auth-service,14,1700091395,93.2,85.9,504.4,13.41,0.0067,0.0125,12.0,37.2
ep_00000_NONE,NONE,auth-service,16,1700093395,91.9,89.1,483.1,25.92,0.0054,0.0302,21.5,41.8
ep_00000_NONE,NONE,auth-service,18,1700095395,96.7,98.6,541.3,32.75,0.005,0.0848,14.8,36.6
ep_00000_NONE,NONE,auth-service,20,1700097395,96.7,115.0,570.3,19.37,0.0034,0.0284,27.7,35.8
ep_00000_NONE,NONE,auth-service,22,1700099395,86.1,94.5,547.4,2.0,0.0178,0.0148,25.8,30.5
ep_00000_NONE,NONE,auth-service,24,1700101395,97.5,98.8,508.9,6.68,0.005,0.0682,21.9,41.5
ep_00000_NONE,NONE,auth-service,26,1700103395,91.8,90.9,534.1,2.0,0.0245,0.01,17.9,42.3
ep_00000_NONE,NONE,auth-service,28,1700105395,81.1,86.1,524.9,24.81,0.0081,0.01,19.8,30.8
ep_00000_NONE,NONE,auth-service,30,1700107395,80.2,86.2,505.3,9.16,0.0025,0.0394,19.2,31.5
ep_00000_NONE,NONE,auth-service,32,1700109395,81.3,95.9,516.6,24.31,0.0274,0.12,16.1,31.7
ep_00000_NONE,NONE,auth-service,34,1700111395,72.8,93.4,490.8,9.89,0.0336,0.12,13.7,29.5
ep_00000_NONE,NONE,auth-service,36,1700113395,104.7,124.1,488.6,4.33,0.0115,0.12,19.3,28.1
ep_00000_NONE,NONE,auth-service,38,1700115395,88.1,92.3,516.6,2.65,0.0116,0.01,22.1,34.5
ep_00000_NONE,NONE,auth-service,40,1700117395,106.7,110.7,519.7,2.0,0.003,0.0109,14.4,32.6
ep_00000_NONE,NONE,auth-service,42,1700119395,89.2,92.5,515.1,11.87,0.0003,0.0189,33.7,27.3
ep_00000_NONE,NONE,auth-service,44,1700121395,96.9,91.7,510.8,7.2,0.0061,0.0301,22.9,39.1
ep_00000_NONE,NONE,auth-service,46,1700123395,87.6,95.7,498.1,15.63,0.0029,0.01,12.5,34.7
ep_00000_NONE,NONE,auth-service,48,1700125395,80.6,89.8,542.2,11.75,0.0046,0.01,24.1,23.5
ep_00000_NONE,NONE,auth-service,50,1700127395,92.4,95.7,520.3,11.35,0.0115,0.0138,27.7,36.2
ep_00000_NONE,NONE,auth-service,52,1700129395,88.8,93.5,519.7,37.28,0.0029,0.12,20.2,41.6
ep_00000_NONE,NONE,auth-service,54,1700131395,96.9,103.4,523.1,13.0,0.0064,0.01,13.8,27.0
ep_00000_NONE,NONE,auth-service,56,1700133395,83.6,99.4,522.5,9.71,0.0084,0.0743,23.5,31.5
ep_00000_NONE,NONE,auth-service,58,1700135395,88.6,97.0,528.4,40.0,0.0123,0.0668,10.0,31.6
ep_00000_NONE,NONE,auth-service,60,1700137395,96.0,92.2,516.0,27.01,0.0211,0.0183,15.6,32.0
ep_00000_NONE,NONE,auth-service,62,1700139395,96.4,112.2,484.4,2.0,0.0033,0.0215,14.6,31.7
ep_00000_NONE,NONE,auth-service,64,1700141395,93.4,93.1,518.6,2.14,0.0221,0.0215,19.3,36.7
ep_00000_NONE,NONE,auth-service,66,1700143395,105.6,115.8,513.4,2.0,0.0169,0.0712,10.8,29.4
ep_00000_NONE,NONE,auth-service,68,1700145395,86.3,92.1,550.7,2.0,0.0037,0.01,27.6,29.3
ep_00000_NONE,NONE,auth-service,70,1700147395,90.1,121.0,516.5,27.46,0.009,0.12,24.5,40.4
ep_00000_NONE,NONE,auth-service,72,1700149395,87.5,104.4,475.4,2.0,0.0009,0.12,17.1,47.1
ep_00000_NONE,NONE,auth-service,74,1700151395,93.5,89.4,521.3,13.72,0.0066,0.0103,26.3,43.1
ep_00000_NONE,NONE,auth-service,76,1700153395,82.2,86.1,538.7,3.98,0.0189,0.0428,15.1,32.8
ep_00000_NONE,NONE,auth-service,78,1700155395,93.6,79.3,524.7,3.57,0.0191,0.12,18.6,34.2
ep_00000_NONE,NONE,auth-service,80,1700157395,91.6,84.9,526.1,7.04,0.0109,0.12,14.7,28.8
ep_00000_NONE,NONE,auth-service,82,1700159395,90.4,87.3,530.0,6.89,0.0071,0.0264,15.3,35.9
ep_00000_NONE,NONE,auth-service,84,1700161395,78.4,108.4,537.0,8.48,0.0119,0.12,14.1,30.8
ep_00000_NONE,NONE,auth-service,86,1700163395,91.9,111.1,487.6,9.53,0.0269,0.01,25.6,36.2
ep_00000_NONE,NONE,auth-service,88,1700165395,75.8,100.2,500.4,2.0,0.0048,0.01,14.7,36.2
ep_00000_NONE,NONE,auth-service,90,1700167395,78.6,99.5,495.9,6.6,0.0144,0.0563,16.7,37.4
ep_00000_NONE,NONE,auth-service,92,1700169395,81.7,70.9,544.2,36.55,0.0061,0.0891,23.5,27.5
ep_00000_NONE,NONE,auth-service,94,1700171395,95.6,115.5,515.4,11.21,0.0085,0.0228,33.1,29.5
ep_00000_NONE,NONE,auth-service,96,1700173395,94.7,98.2,494.6,26.05,0.0211,0.0767,12.0,26.9
ep_00000_NONE,NONE,auth-service,98,1700175395,93.9,89.8,460.7,7.26,0.0112,0.01,22.6,34.2
ep_00000_NONE,NONE,auth-service,100,1700177395,96.5,101.3,537.0,5.84,0.0055,0.0889,18.7,39.8
ep_00000_NONE,NONE,auth-service,102,1700179395,71.4,85.4,493.7,4.81,0.019,0.01,23.7,33.9
ep_00000_NONE,NONE,auth-service,104,1700181395,95.2,94.9,526.0,14.34,0.009,0.0447,19.5,40.6
ep_00000_NONE,NONE,auth-service,106,1700183395,71.8,80.0,493.5,8.75,0.0112,0.0352,19.0,36.4
ep_00000_NONE,NONE,auth-service,108,1700185395,91.3,102.8,528.1,2.04,0.0006,0.12,34.4,37.6
ep_00000_NONE,NONE,auth-service,110,1700187395,87.0,86.1,512.2,23.97,0.003,0.0815,22.9,41.2
ep_00000_NONE,NONE,auth-service,112,1700189395,92.7,77.2,513.7,3.0,0.0022,0.1061,21.3,29.5
ep_00000_NONE,NONE,auth-service,114,1700191395,93.2,95.6,485.9,2.0,0.0074,0.12,14.5,34.2
ep_00000_NONE,NONE,auth-service,116,1700193395,84.0,82.5,522.2,2.45,0.0012,0.0107,14.5,36.7
ep_00000_NONE,NONE,auth-service,118,1700195395,93.0,107.9,534.0,14.2,0.0026,0.0561,16.6,36.6
ep_00000_NONE,NONE,auth-service,120,1700197395,86.8,97.4,517.5,17.32,0.0061,0.0904,19.4,41.1
ep_00000_NONE,NONE,auth-service,122,1700199395,81.0,91.2,496.9,8.58,0.0057,0.0958,19.5,35.7
ep_00000_NONE,NONE,auth-service,124,1700201395,92.9,126.8,529.0,8.02,0.0168,0.01,22.2,37.1
ep_00000_NONE,NONE,auth-service,126,1700203395,74.5,101.7,492.4,2.93,0.0084,0.0177,19.8,36.4
ep_00000_NONE,NONE,auth-service,128,1700205395,81.9,102.2,513.3,5.07,0.001,0.1012,14.4,29.1
ep_00000_NONE,NONE,auth-service,130,1700207395,81.3,97.9,536.9,4.41,0.0042,0.01,15.5,37.4
ep_00000_NONE,NONE,auth-service,132,1700209395,88.8,110.9,499.6,4.85,0.007,0.01,16.7,39.9
ep_00000_NONE,NONE,auth-service,134,1700211395,99.3,109.4,522.6,8.93,0.0012,0.1021,19.1,37.1
ep_00000_NONE,NONE,auth-service,136,1700213395,88.1,95.8,512.1,23.63,0.0114,0.01,26.2,37.5
